chang'xiao 长效
quan'ang 全行
zhi'xiao 职校
hong'ge 红歌
shan'nan 山南
da'wang 大网
sha'la'bo'wa 莎拉波娃
jue'li 角力
chang'de'sheng 常德盛
jue'bu'hui 决不会
shi'cai 石材
fen'shao'chang 焚烧厂
ban'xiao 办校
mian'jia 棉价
bu'zhuo 补缴
zeng'chang'qi 增长期
ju'ji'di 聚集地
yi'jia'jia 一家家
pin'kun'lv 贫困率
you'cang 油藏
shu'xi 书系
mei'qi 每期
tai'ci 台次
sun'guang'yong 孙广勇
luo'ke'sheng 骆科盛
niao'suan 尿酸
nong'ji'yuan 农技员
fang'shen'sen 防渗
liang'san'wan 两三万
dun'zhu 顿珠
lv'you'quan 旅游圈
na'ka 拿卡
wang'xi'guang 汪锡广
guang'tie 广铁
zhuan'wei'hui 专委会
shu'ia 书价
cheng'zhe 乘着
rong'hui 融会
zhong'yang'ye 种养业
ye'lao 叶老
he'dian'ji'zu 核电机组
yong'xie 用血
guan'yuan 关员
jiao'yi'yuan 交易员
fen'shu 分属
zhang'bo'li 张伯礼
ao'pu'la 奥普拉
ta'diao 塔吊
xie'tiao'yuan 协调员
wu'wu'ran 无污染
zheng'di 整地
ban'zu'zhang 班组长
zong'dui'zhang 总队长
si'jun 以军
chuan'hui 传回
li'gong'yue 李公乐
chang'qu 场区
guang'gu 光谷
du'li'guo'jia 独立国家
lani'na 拉尼娜
wan'lian'yun 万连云
shu'di'er 数第二
sa'er'ci' bao 萨尔茨堡
lin'huan'cao 林还草
yi'bu'la'xin 易卜拉欣
yu'bao'yuan 预报员
yao'zhui 腰椎
luo'bo'si 罗伯斯
jia'bu'li'le 贾布里勒
shi'fei'yuan 试飞员
pin'du 品读
daimu'le 戴姆勒
zhu'chuan'bo 朱传波
ju'di 局地
ta'ma 塔玛
sai'han'ba 塞罕坝
ding'xin'min 丁新民
zhi'yu'lv 治愈率
dang'tuan'yuan 党团员
pei'zhai 裴寨
shu'yi'yi'ji 数以亿计
qi'yi 其意
chang'shi 长诗
jian'chen 坚称
luo'chang'jie 罗长姐
wei'si'te'wei'le 韦斯特韦勒
yan'ge 沿革
xiao'yin 萧殷
ping'pang'qiu'tai 乒乓球台
ka'lei'la'si 卡雷拉斯
mei'kuai 每块
lan'zao 蓝藻
sa'na 萨那
jian'cha'yuan 监察员
zhi'shu 职数
she'ying'jia 摄影家
yue'fa 约法
shi'qing 市情
jiao'zu'bo 焦祖波
zha'er'da'li 扎尔达里
ding'huo'hui 订货会
bai'qian'wan 百千万
nong'liu'shi 农六师
wo'zi 沃兹
ke'zuo'kai 柯作楷
nan'duan 南端
chang'ban 厂办
ban'gong'hui 办公会
bei'e 北侧
xiao'xi 小戏
zhen'qu 镇区
a'fang 阿方
ta'ji 塔基
jian'xian'si 见贤思
pa'ta'mu'han 帕塔木汗
tiao'kuai 条块
yi'xing 易行
shi'zhong 试种
li'fa'hui 立法会
wan'li 万历
cai'shou'lv 采收率
zang'yao 藏药
si'wan'wan 四万万
qu'zhi 区直
shu'shi'du 舒适度
zi'bao 兹堡
nong'he 农合
ye'shi'wen 叶诗文
nan'xiang 南向
zhi'zhong 制种
hong'wai 红外
wen'hua'bu'zhang 文化部长
shang'ban'ye 上半叶
fu'geng 复耕
zha'wei'ye 扎维耶
pu'wen 朴文
hong'tong'she 红通社
xu'he'yi 徐和谊
gu'nei 谷内
xin'lv 心率
yi'hang'hang 一行行
you'li'hong 尤立红
di'shi'ni'le 迪士尼乐
yong'jun'you'shu 拥军优属
bao'pi 薄皮
de'ke'sa'si 得克萨斯
zheng'zhi'xi 政治系
he'xin'chao 何新朝
qing'ao'hui 青奥会
da'bie'shan'qu 大别山区
tiao'zheng'qi 调整期
wu'liu'wan 五六万
che'zhang 车长
you'liang'lv 优良率
zai'zhu 仔猪
qu'ji 区际
shi'liao 石料
si'cheng'ren'yuan 司乘人员
nan'ou 南欧
ru'hui 入会
qun'luo 群落
shi'mao 市貌
shi'dian'qu 试点区
chang'ying 长影
tong'bao'hui 通报会
ji'min'meng 基民盟
ji'nan 暨南
e'er'dun 额尔敦
shi'chun'lin 石春林
che'kuang 车况
ding'dun'ling 丁敦龄
ni'ya'qi 尼亚齐
pei'guang'jiang 裴广江
bi'mu'hui 闭幕会
tiao'wei'hui 调委会
luo'zi 落子
yi'chan'di 遗产地
lou'jia 楼价
lu'ke'wen 陆克文
xiao'zhi'yi'li 晓之以理
ye'bo'lin 叶柏林
sheng'mou 盛某
ye'ping 叶坪
meng'yuan 盟员
liu'ruo'peng 刘若鹏
mu'xin'na 穆欣娜
qu'qing 区情
nan'ce 南侧
wang'bo'xiang 王伯祥
chang'si 常思
gui'hua'qu 规划区
shi'qiu'jie 石秋杰
shi'bo'kui 石柏魁
quan'shu 权数
sheng'cun'lv 生存率
zha'sang 扎桑
pai'xi 排戏
qiang'zhong 抢种
jia'ru'han 贾茹涵
ye'jia'ying 叶嘉莹
xia'zhang'quan 厦漳泉
wei'wei 蔚为
san'qi 三期
peng'juan 棚圈
mou'sheng 某省
zhi'man 枝蔓
wa'yao'bao 瓦窑堡
di'ya 地压
fen'wei'hui 分委会
hui'feng 会风
zhu'zai 猪仔
pu'cha'yuan 普查员
bai'wei'xia 柏威夏
he'ji'hua 核计划
sha'zhu 刹住
shu'chu'di 输出地
tang'zhong'he 唐中和
feng'si'guang 冯思广
jie'shi 结石
su'pu 素朴
lu'ke 陆客
hu'di'yi 数第一
li'zhuan 立传
hui'bao'hui 汇报会
wen'wen'de 稳稳地
a'mi'shi 阿米什
chun'zhong 春种
cha'ti 查体
tong'zhi'qu 统治区
gan'shi'zhang 干事长
shi'yi'yuan 施以援
tan'ta'wei 坦塔维
sheng'zhi'yong 盛志勇
nan'jia'zhou 南加州
ai'ji'da 艾季达
nei'jia'de 内贾德
nie'jia'he 聂家河
bu'ye 卜耶
bian'lun'hui 辩论会
pi'ka 皮卡
yi'shu'xi 艺术系
jun'zhi 均值
lu'sai'en 卢塞恩
xiang'mu'shu 项目数
mao'di 锚地
tie'hao 铁镐
tu'shi 土石
zhong'zhi 种质
zhou'wen'zhong 周文重
jing'tian'di 惊天地
shi'feng 石缝
ji'fu'zi 吉福兹
jie'an'lv 结案率
diao'tou 调头
bao'li'ge'ga'cha 宝力格嘎查
diao'jin 调进
zong'xiao 总校
bian'chen 辩称
a'bu'ye'yi'di 阿卜耶伊地
bo'ban 伯半
wei'kuang'ku 尾矿库
zi'li'tan 兹利坦
li'hua'bo 李华波
zang'yi 藏医
hong'dou'shan 红豆杉
ye'suan 叶酸
sheng'li 省立
tou'piao'lv 投票率
di'wa'di 低洼地
shui'jing'shi 水晶石
zhuan'yong'che 专用车
gong'zhong 供种
zhu'chan'sheng 主产省
zhong'gang 重钢
lian'hui 联会
de'le 德勒
yin'zhong 引种
xiaowei'hui 消委会
chang'yi 长椅
lu'hao 陆昊
she'hui'xue'xi 社会学系
da'fen 大芬
na'yao 拿药
yin'lian'ka 银联卡
guo'wu'wei'yuan'hui 国务委员会
a'da'ke'si'shi 阿达克斯石
wu'can'hui 午餐会
she'qi 涉企
yue'sheng 乐声
wu'ta 乌塔
nan'ke'er'duo 南科尔多
dong'hui 董会
hu'di 湖底
yang'ba 氧吧
kai'mu'hui 开幕会
pu'shi'tu 普什图
si'ju'cun 思居村
a'nu'bo'bai 阿努伯
nan'qian'dao 南千岛
sai'bu'ha 塞卜哈
ye'pai 叶派
gao'pao 高炮
chang'fang 厂方
qiu'shi 球市
wan'ya 万鸦
kou'chuan 口传
tan'ren'yong 覃仁勇
zhao'wa 爪哇
hong'shi 红诗
zhong'tou 重头
xiao'ling'dao 校领导
tang'bing'gui 汤秉贵
ou'he 耦合
su'yi 素以
wei'shu'qu 卫戍区
ta'tai'si 塔台
dao'ke 稻壳
li'di 立地
zha'shi'lun'bu'si 扎什伦布寺
si'zheng'ke 思政课
gai'di 该地
shu'yi'bai'wan'ji 数以百万计
jian'tao 建陶
ye'ping'cun 叶坪村
wei'zhao'an 危朝安
tan'di 滩地
luo'guang'xie 罗光解
jun'zhong 菌种
yao'xue 药学
sha'wa 莎娃
wen'jie'ruo 文洁若
sa'ta 萨塔
yi'xue'hui 医学会
bu'lei'jia 卜雷加
wang'xia'hong 王夏虹
qu'guang'ci 瞿广慈
nong'di 农地
rong'nai'da 容乃大
pian'hui 片会
ma'sa'zhu'sai'zhou 马萨诸塞州
zheng'bing'qiang 郑炳强
lv'zhuang 绿装
hu'ji'di 户籍地
shen'gen'qu 申根区
suo'qi 索契
ku'zi 库兹
ta'na 塔纳
yi'tai'tai 一台台
yuan'liao'yao 原料药
jiang'si'chang 姜泗长
ao'ting'jia 奥廷加
zheng'dian'lv 正点率
gai'luo'pu 盖洛普
zeng'ji 赠给
bei'shi 贝氏
tiao'xun 调训
jian'bian'yi'xing 简便易行
chong'yin 重印
hai'ji'hui 海基会
chuan'tong'xi 传统戏
ju'luo 聚落
ke'bo'hui 科博会
nong'bo'hui 农博会
zhuan'zhu 传主
lian'zu'hui 联组会
jia'xing'yi 贾兴义
mei'pai 梅派
ka'te'li'na 卡特里娜
zhan'dou'yuan 战斗员
min'yun'hui 民运会
man'hua'jia 漫画家
zhu'li'yuan 助理员
ji'nan 冀南
luo'jia'zha'te 罗加扎特
shu'liao 熟料
wu'shuang'qi 无霜期
wan'zheng'lin 万正琳
da'shui'xi 大水系
guan'lin'bai 关林柏
you'si 忧思
zhong'quan 钟圈
di'biao'xing 地标性
qin'chu 禽畜
zhuan'shi 砖石
kuang'zhong 矿种
mou'shi 某市
di'guan 提灌
mu'xi'ka 穆希卡
shu'li 数理
sa'mu'te'bao 萨姆特堡
feng'shuang'bai 冯双白
pin'jin 拼劲
pei'xian'feng 裴先峰
a'zha'lun'k 阿扎伦卡
xie'ji'bo 谢吉伯
di'zhi'xue'jia 地质学家
liang'da'nan 梁大南
man'de'le 曼德勒
chang'de'zhuan 常德传
ma'wan'shui 马万水
la'jia'pa'ke'sa 拉贾帕克萨
wei'xian'qu 危险区
che'ya'hua 车亚华
shi'yan'tai 试验台
wang'yao'nan 王耀南
nan'yuan 南缘
dan'ke 单科
nan'duan 南段
yuan'chu'hong 袁初红
tian'kuai 田块
mei'du 煤都
shu'ji 熟记
liu'qi'wan 六七万
wan'fu 万阜
ren'xiu'hong 任秀虹
re'ya 热轧
shi'shu 十数
jian'cha'yuan 检察员
hua'jie 划界
quan'meng 全盟
jie'zhong 借重
zhong'han 重旱
fang'ying'yuan 放映员
zha'xiu'min 查秀民
zai'chu'liang 载畜量
chang'tu'che 长途车
xun'luo'che 巡逻车
lu'yuan 陆源
qi'ba'wan 七八万
qi'da'shan 齐大山
qi'shi 奇石
zang'yu'wen 藏语文
ming'na 明娜
xue'fu'long 雪佛龙
nian'he'ji 粘合剂
shi'yue'liang 石月亮
hong'san'jun 红三军
wu'bo'xiong 吴伯雄
fa'she'ta 发射塔
guan'li'xi 管理系
a'ji'luo'fu 阿基洛夫
jiao'ban 脚板
zhang'xiu'lv 张绣绿
lu'yi'si'an'na 路易斯安那
feng'tun 丰屯
jiang'xiang'cun 蒋巷村
jian'yi'yuan 检疫员
sun'liu'long 孙六龙
a'bo'ta'ba'de 阿伯塔巴德
shui'li'xi 水利系
jian'yu 见于
xuan'wei'hui 选委会
zan'cun 咱村
xiao'shou'jia 销售价
hu'er'le 呼尔勒
fu'dun 伏顿
bu'laze'wei'qi 布拉泽维奇
qin'wen 亲闻
lin'xiao'kui 林小魁
shi'xiong'guang 施雄广
jin'nian'di 今年底
bie'shu'qu 别墅区
xin'de'sheng 信德省
shan'xue'gang 单学刚
ye'ci'tian 叶赐添
yu'lian 羽联
fei'qi'di 废弃地
ni'pai 尼派
yuan'jiao'qu 远郊区
ao'ka'xi'ao 奥卡西奥
de'zhou 得州
qin'gu'rou 亲骨肉
wu'gong'di 务工地
zeng'zhi 增殖
qi'ji 契奇
chang'zhuo 长桌
qi'xiang 奇想
nian'xing 粘性
tai'chuang'yuan 台创园
tang'rui'shi 唐瑞石
liu'li'cai 陆立才
wang'yong'cheng 王永澄
bing'zhu 屏住
xue'fang 血防
jue'er 角儿
ri'jian 日见
pan'xiao'hong 盘晓红
qiu'jia'ping 邱家坪
bi'geng' bu'chuo 笔耕不辍
la'he'er 拉合尔
wu'guai 无怪
ye'xiao'wen 叶霄雯
ri'shu 日数
liao'mo'sha 廖沫沙
mo'si'ke'fu 莫斯科市
jing'ji'xi 经济系
zeng'jing'ping 曾敬平
lu'fu'zhuang 芦阜庄
meng'ta'er 蒙塔尔
he'tong'qi 合同期
ge'bu'zha 格布扎
zeng'zhi'lv 增值率
xiang'zhen'zhang 乡镇长
mai'jin'tuo'shi 麦金托什
lv'ye 滤液
dan'fo 丹佛
lu'sun 芦笋
hun'ju 混居
si'wu'wan 四五万
zang'bei 藏北
jiang'si'zhe 蒋思哲
yue'qi'chang 乐器厂
you'ji'qu 游击区
sang'shen 桑葚
bu'lei'dun 布雷顿
shi'gong'qi 施工期
kong'luo'lao 空落落
li'pei'hong 李佩红
tai'di 台地
zhu'xian'qi 朱先奇
hu'ling'hong 胡玲红
bu'te'fu'li'ka 布特弗利卡
ke'li'si'di'na 克里斯蒂娜
long'wei 龙尾
na'chu'mu 那楚姆
leng'ya 冷轧
ka'suo'ma 卡索马
li'si 力思
wang'jing'bo 王敬波
fen'juan 分卷
shen'du 审读
zhong'shui 重水
sen'gu'pu'ta 森古普塔
na'zi 纳兹
rou'he 糅合
lou'dong'zhang 楼栋长
ou'wei'hui 欧委会
qiang'gui'xin 强桂新
qian'qi'chen 钱其琛
chang'feng 长风
a'qi'qi'ya 阿齐齐亚
zu'bo 祖波
zhong'xing 种姓
chu'guo'qiang 楚国强
xiao'qin'jing 孝亲敬
tiao'jie'jia 调节价
ha'ti'bu 哈提卜
guan'ta'na 关塔那
xuan'zhong 选种
bao'jian'yuan 保健员
hang'xiao 航校
gu'bao'rong 谷保荣
ding'xiao'xi 丁小希
shen'ji'zhang 审计长
shu'juan 舒卷
zhu'wen'fu 竹汶府
shang'qi 上期
cheng'yuan 乘员
yun'shan 云杉
lin'yu'shang 林玉裳
dong'zhai 侗寨
bao'ka 保卡
ding'yi 丁裔
bei'ke'le'er 贝克勒尔
xu'ding'bo 许定波
si'di 死地
chen'yi'jun 陈一筠
tian'chuan'gui 田传贵
zhu'ge'liang'hui 诸葛亮会
cha'jiao 查缴
bao'hu'di 保护地
nan'meng 南盟
ju'shi 句式
sheng'jing 盛景
di'xian 地县
tu'qiang 图强
tian'dong'mang 田东芒
jue'dui'shu 绝对数
shi'tu'juan 石图卷
xu'li 畜力
a'te'lan'di'si 阿特兰蒂斯
jing'wei'hui 经委会
feng'zheng'lin 冯正霖
dong'hong'qi 董洪齐
fu'dai'hui 妇代会
chao'qiang'du 超强度
te'ao 特奥
mi'he'lun'sha 米合伦沙
ban'kuai 版块
da'wu'te'ao 达武特奥
li'meng'tao 李梦桃
wu'ran'qu 污染区
wei'yi 尾翼
zhai'ai'guo 翟爱国
zong'cai 综采
he'zhen'bai 何振柏
qiang'min'fu 强民富
guang'kong 广空
 pei'yong'jun 裴永俊
chen'chun'bo 陈纯波
li'xue'ping 利血平
ru'qi 如其
chang'di 长笛
lian'chang 链长
qiu'zhong 秋种
sheng'tai'quan 生态圈
zhong'xin'xiao 中心校
zhuang'jia'di 庄稼地
yin'yi'zi'hao 引以自豪
ju'nong 桔农
ji'zhong 机种
ju'yuan 桔园
xiao'ban 校办
te'ao'hui 特奥会
pu'le 普勒
man'xing 慢行
shi'yang'he 石羊河
dan'dao 弹道
zha'wen'hong 查文红
fan'jia 返家
ma'cha'duo 马查多
an'quan'ke 安全壳
tuo'sai'li 托塞利
qi'che'chang 汽车厂
zeng'qing'xiang 曾庆香
fang'ting 芳烃
ji'si'han 吉思汗
chen'shan'guang 陈善广
yao'xue'yuan 药学院
yao'xie 药械
chen'jun'shi 陈君石
xie'zhen'dang 解阵党
shi'zu 氏族
zu'zhuang'chang 组装厂
ji'jiang 机降
ke'yun'yuan 客运员
qiu'zhi'ruo'ke 求知若渴
ta'wa'lei'si 塔瓦雷斯
ka'de'er 卡德尔
xi'tu'chang 稀土厂
hua'yue 华约
kewa'zha 克瓦查
sheng'jie 省界
tian'yang'chu 天养畜
ta'li'ya 塔利亚
gu'tun 古屯
quan'ceng 圈层
cun'dai'hui 村代会
lan'shao'hui 蓝绍会
sun'li'guang 孙立广
ji'ta'lian 季塔连
yan'xia 烟霞
zeng'jian'qiu 曾剑秋
xi'rang 熙攘
he'wu'ku 核武库
gou'li'guo'jia'sheng'si'yi 苟利国家生死以
ba'bo 巴伯
yi'gu 遗骨
jing'mao'hun'wei'hui 经贸混委会
bu'le 布勒
di'ni 底泥
duo'xun 度汛
wang'yun'na 王云娜
ji'cha 级差
si'qin 思亲
ye'su 夜宿
fu'shi 复式
kang'yong'qian 康雍乾
qi'shi 奇市
yao'bao 姚堡
shan'gao'shui'chang 山高水长
ta'zuo 塔座
shen'niao 神鸟
wo'er'shi 沃尔什
xun'yi 寻医
jing'qu 警区
xin'shuo 新说
kun'sha 昆莎
wen'bu'er'dun 温布尔顿
xiao'ming 校名
rou'shu 柔术
tao'jian'zhong 陶建中
bai'wan'qing 柏万青
tuo'ba 拓跋
jian'ming'hui 蹇明会
piao'zhi'en 朴志恩
zha'la 扎拉
chui'feng'hui 吹风会
zhou'heng'hua 舟恒划
chen'yi'hong 陈意红
yi'la 遗落
han'ju'hong 韩举红
te'ke'wei'qi 特科维奇
su'yong'qiang 苏永强
zhan'he 战和
su'ying'di 宿营地
zhong'yang'bo 钟杨波
mo'ke'li'si 摩克利斯
han'fu'ling 韩复龄
yang'zhao'qu 阳照区
you'zhi'you'jia 优质优价
yao'qi'zhi 姚期智
zeng'de'mei 曾德梅
bo'bei 波贝
mu'si'ta'fa 穆斯塔法
kan'te'bo'lei 坎特伯雷
ta'pa'lang'xi 塔帕朗西
tao'fu 桃符
feng'nai'en 冯乃恩
yi'zha'zi 伊扎兹
a'yi'pa'xia 阿依帕夏
tai'hang'shan'qu 太行山区
li'ya'de'dei 利雅得
qi'pa'ta 奇帕塔
bao'gao'dan 报告单
miao'xue'bing 缪学兵
ao'bei'di 奥贝迪
sou'sou 嗖嗖
ye'cai 叶菜
mu'he'tai 木合太
shao'kou 哨口
sheng'shi 省时
tu'long'shu 屠龙术
kuai'er 块儿
ting'cun 町村
han'ren'xin'po 撼人心魄
guan'zhang 关长
ka'fu 卡夫
lu'jian'de 芦建德
shi'tian'miao 石天苗
lu'niao 鹭鸟
wan'xiang'wen 万香文
ren'chang'lian 任长连
zheng'shou'lv 征收率
mu'sai'wei'ni 穆塞韦尼
sui'yuan 绥远
xi'te'shi 希特什
tiao'kuai'jie'he 条块结合
xu'qi 续期
ding'hao'bo 丁浩波
sheng'chan'dui'zhang 生产队长
jiao'yu'xi 教育系
zuan'tai 钻台
ge'lei'zi 格雷兹
shi'chuan'wan 石传万
san'si'wan 三四万
yuan'xue'hong 袁学红
tao'yin 陶印
tang'yi'mei 汤怡妹
xi'men'ting 西门町
liu'di 陆第
ti'ge'xing 提个醒
pan'jin'wan 潘金万
wan'bing'gen 万炳根
mu'han'mo'de'zha'nuo'fu 穆罕默德扎诺夫
lu'qun 陆群
shen'yin'nan 沈音南
jin'yao 禁药
xin'chang'xing 信长星
ni'hong 霓虹
wang'chang 王长权
min'gan'qu 敏感区
gu'yan'sheng 谷彦生
cai'you'chang 采油厂
kuang'che 矿车
ao'er'ta 奥尔塔
wen'shuo 文说
lin'ka 林卡
yan'yi'na 严意娜
xiang'yang'hong 向阳红
qiang'bi'ba 强必霸
a'tan'ba'ye'fu 阿坦巴耶夫
long'guo'qiang 隆国强
zhe'ye 折页
yu'nan 豫南
zhai'yong'ping 翟永平
shuo'jin 说尽
qi'zhong 起重
hua'jin'na 华金娜
tao'guang'xiong 陶光雄
di'jing 抵京
tan'jia 探家
wang'chang'jun 汪长军
xuan'ye'guang 玄叶光
he'wen'chuan 和汶川
che'guan 车管
ao'la'ji 奥拉基
bo'hei 波黑
mo'ni'ka 莫妮卡
qing'jiao 清缴
mu'tun'cun 母屯村
she'xian 涉险
zhu'an'qi 朱安奇
di'jiu'shi'liu 第九十六
hong'bo'pei 洪博培
feng'hong'nian 封红年
shang'shang 汤汤
yi'xue'xi 医学系
cai'zhong 菜种
meng'shi 蒙氏
da'suo'lang 大索朗
lu'yue'bo 鲁月波
fu'hua'chang 孵化厂
wei'zhe 为着
si'si'de 死死地
zang'min 藏民
liucu'hai 陆促海
yan'zou'hui 演奏会
tong'qin'che 通勤车
mu'tun 母屯
ao'tong'ba'ye'wa 奥通巴耶娃
la'li'jia'ni 拉里贾尼
xie'guo'sheng 解国胜
ping'rang'shi 平壤市
wan'di 万引娣
li'xing'gen 励行根
na'bi'le 纳比勒
wang'jin 汪劲
shen'you'qiang 申友强
xiao'ge 校歌
jiao'tong'bu'zhang 交通部长
zha'wa'he'li 扎瓦赫里
ka'li 卡里
li'jing'sheng 李京盛
yi'liang'wan 一两万
nan'man 南满
