nei'rong,6636 内容,6636;
yun'shuju,41 运输局,41;
zhua'er'nao'sai,7 抓耳挠腮,7;
gan'ga,467 尴尬,467;
zun'zhang'shou'ji,10 遵章守纪,10;
an'he'er,5 安赫尔,5;
han'mu'zha,5 汉姆扎,5;
ge'lu'pai,5 格鲁派,5;
de'biersi,15 德比尔斯,15;
tai'lian,86 台联,86;
hu'lu'dao,17 葫芦岛,17;
gan'fu,268 赶赴,268;
ping'quan,21 平泉,21;
hou'che'shi,49 候车室,49;
ma'da'jia'si'jia,12 马达加斯加,12;
jin'ba'ba,14 紧巴巴,14;
feng'guangyi'shi,5 风光一时,5;
sheng'ji'ang'ran,45 生机盎然,45;
peng'guo'hua,7 彭国华,7;
gui'nv,50 闺女,50;
chen'tong,63 沉痛,63;
zuo'lao,19 坐牢,19;
gao'deng'yuan'xiao,165 高等院校,165;
ma'er'ke'si,17 马尔克斯,17;
zhan'zhang,205 站长,205;
gan'fa,11 干法,11;
zhangzhanyu,8 张占宇,8;
yang'gui'rong,13 杨桂荣,13;
qing'yang,73 庆阳,73;
gan'en,505 感恩,505;
geluona'si,5 格洛纳斯,5;
ke'niya'ke,6 科尼亚克,6;
bao'huzhe,25 保护者,25;
lianzu,38 联组,38;
ruan'wo,7 软卧,7;
chang'liang,32 敞亮,32;
sanban,8 三板,8;
qing'shan'qu,16 青山区,16;
mufu,6 幕府,6;
yin'du'yang,76 印度洋,76;
bian'xian,47 变现,47;
shou'dian,12 手电,12;
da'xian'shen'shou,42 大显身手,42;
hua'hen,8 划痕,8;
ding'li'xiang'zhu,10 鼎力相助,10;
zi'ran'jing'ji,9 自然经济,9;
jiao'zao,18 焦躁,18;
liu'xie,15 流泻,8;刘勰,7;
wu'shixing,10 务实性,10;
ting'zhi'ren'zhi,17 听之任之,17;
gan'di,13 甘地,13;
liu'xia,1880 流下,90;留下,1790;
he'zhong'gong'ji,47 和衷共济,47;
yu'shu,764 玉树,737;榆树,27;
ke'xue'xing,383 科学性,383;
liu'xin,28 留心,21;刘昕,7;
hui'yue,6 毁约,6;
li'hong,5 李红,5;
wu'hei,10 乌黑,10;
fanwei'ping,5 范卫平,5;
fu'zhu'shi'shi,51 付诸实施,51;
dongdeliang,26 董德良,26;
yu'shi,1527 玉石,30;浴室,31;预示,139;鱼市,5;于是,1322;
lai'gao,29 来稿,29;
wangyuqian,7 王余前,7;
yong'ji'xian,21 永吉县,21;
wei'lou,21 危楼,21;
yin'guo,46 因果,46;
huang'pai,34 黄牌,34;
san'deng,11 三等,11;
ou'yang'wenzhong,22 欧阳文忠,22;
ting'zhi,1296 停滞,200;停职,52;挺直,40;停止,1004;
zoushengwen,20 邹声文,20;
feng'pei'xuan,7 冯培炫,7;
xian'jie'xing,6 衔接性,6;
gong'ye'ti'xi,89 工业体系,89;
yang'xue'mei,10 杨雪梅,10;
gui'ke,11 贵客,11;
weiman'tang,6 魏满堂,6;
ji'jiu'che,19 急救车,19;
qiang'jian'zui,5 强奸罪,5;
bai'wei'jun,6 白卫军,6;
jin'e,907 金额,907;
mei'gu,22 每股,22;
jing'ren,264 惊人,264;
cunshang,21 村上,21;
gui'gen'jie'di,140 归根结底,140;
qi'shi'ye,364 企事业,364;
zi'kong,15 自控,15;
yin'shan,46 银山,46;
gao'lan,17 高栏,17;
quan'ang,34 全行,34;
shan'jing,6 单井,6;
zhan'youqing,7 战友情,7;
li'wenzhuo,5 李文卓,5;
dian'hua'jiao'yu,8 电化教育,8;
yang'gen'si,70 杨根思,70;
yuan'yuan'bu'duan,190 源源不断,190;
yan'zheng'zheng,30 眼睁睁,30;
hou'yongsheng,6 侯永胜,6;
bu'zhu'fei,58 补助费,58;
gao'linmi,6 高林密,6;
da'guan,149 达观,7;大观,15;大关,127;
shen'shen'de,8 深深地,8;
weiwei,7 魏苇,7;
xingling,10 性灵,10;
guo'nong,65 果农,65;
mei'fu,13 妹夫,13;
quan'ri'zhi,107 全日制,107;
gui'ji,211 轨迹,211;
shi'shi'zai'zai,641 实实在在,641;
yu'xiang,50 预想,50;
xue'shui,27 血水,9;雪水,18;
hong'san'jun'tuan,5 红三军团,5;
xue'shuo,100 学说,100;
yun'zai,86 运载,86;
qinglai,40 清莱,40;
lumei,7 鲁煤,7;
hei'bang,6 黑帮,6;
xuchang'ming,7 徐长明,7;
gui'ju,160 规矩,160;
mei'ge,3528 每个,3528;
lei'tai'sai,21 擂台赛,21;
shouyou,33 收油,33;
ji'yazhe,9 羁押者,9;
she'baoju,40 社保局,40;
shi'chuan,56 失传,56;
yu'suo,26 寓所,26;
chi'jiao'yi'sheng,32 赤脚医生,32;
tian'ze,7 天泽,7;
ba'shan,43 巴山,43;
gui'mo,5969 规模,5969;
nan'beixiang,10 南北向,10;
feng'yu'jiao'jia,12 风雨交加,12;
tai'guo,1965 泰国,1965;
ren'jun,2530 人均,2530;
tian'zi,24 天资,5;天子,19;
bei'song,80 背诵,37;北宋,43;
bu'ling,24 不灵,24;
cang'hui,5 藏汇,5;
yaomao'lin,6 姚茂林,6;
zhan'tai,142 站台,72;展台,70;
guang'jie,5 光洁,5;
tian'yu,44 天宇,10;田玉,34;
gui'na,121 归纳,121;
mei'fa,194 美发,16;没法,178;
bei'hou,1353 背后,1353;
liu'lan'fang,10 刘兰芳,10;
fu'rong,42 芙蓉,42;
wu'han,1203 武汉,1184;吴晗,19;
wu'hao,44 吴浩,13;五好,31;
la'lang'pei,9 拉郎配,9;
pan'tu,37 叛徒,37;
tian'ye,197 天野,7;田野,190;
tianyouli,9 田有俐,9;
chen'xiao'feng,72 陈晓锋,66;陈晓峰,6;
qiao'sheng,9 悄声,9;
tian'yi,22 天意,16;天一,6;
gui'li,43 规例,10;瑰丽,33;
mei'du,38 梅毒,23;煤都,15;
wu'hai,35 乌海,5;无害,30;
zhong'jie'fei,9 中介费,9;
gui'lv,2615 规律,2615;
yi'ren,192 宜人,37;艺人,155;
cheng'xiuling,13 程秀玲,13;
tian'ya,101 天涯,101;
bu'ke'zhuo'mo,5 不可捉摸,5;
shang'haidui,26 上海队,26;
ma'shan'xian,5 马山县,5;
muqi,7 暮气,7;
si'xiang'jia,62 思想家,62;
che'huan,13 撤换,13;
liu'jin'guo,8 刘金国,8;
la'long,29 拉拢,29;
xie'ensi,5 谢恩私,5;
gui'ge,203 规格,203;
liao'wan'qing,8 廖万清,8;
zhen'cha,616 侦察,104;侦查,512;
quan'cunren,51 全村人,51;
hei'dou,8 黑豆,8;
zhang'zhuang'cun,14 张庄村,14;
tong'tong'kuai'kuai,11 痛痛快快,11;
yun'shubu,186 运输部,186;
te'denggong,13 特等功,13;
pan'yu,33 番禺,33;
gaidang,63 该党,63;
tian'ti,38 天体,27;天梯,11;
shou'wang,132 守望,132;
shi'yongliang,53 使用量,53;
shang'nian'ji,5 上年纪,5;
xi'shi,261 西施,22;吸食,57;稀世,8;西式,33;稀释,41;喜事,100;
mei'de,329 美德,329;
you'tai'ren,113 犹太人,113;
juan'xin'cai,60 卷心菜,60;
gui'gu,46 硅谷,46;
pan'zi,54 盘子,54;
du'lu'men,6 杜鲁门,6;
yin'shen,46 引申,12;隐身,34;
xia'wei'yizhou,12 夏威夷州,12;
yin'han,50 隐含,50;
yan'zhen'qing,8 颜真卿,8;
wanghanbin,16 王汉斌,16;
niao'su,32 尿素,32;
wei'lie,77 伪劣,77;
bu'huo,47 捕获,47;
dang'xuanzhe,15 当选者,15;
ba'yue,30 八月,30;
kang'zhuang,17 康庄,17;
bu'bing'shi,8 步兵师,8;
jiu'quan'shi,9 酒泉市,9;
qian'xie'tian,16 前些天,16;
tian'se,48 天色,48;
lianti,8 连体,8;
xi'shu,299 系数,230;悉数,49;稀疏,20;
'shi'jia,8 识假,8;
ci'xitai,11 慈禧太,11;
yilei,14 乙类,14;
wan'can,48 晚餐,48;
ren'lai'ren'wang,23 人来人往,23;
xiao'ye'qu,18 小夜曲,18;
chi'ming,40 驰名,40;
deng'guan,28 灯管,28;
guo'guang'can,6 郭光灿,6;
lang'zi,8 浪子,8;
mei'ci,1074 每次,1074;
jiao'yu'xi,10 教育系,10;
maishirui,11 买世蕊,11;
she'jin'qiu'yuan,13 舍近求远,13;
li'dan'yang,5 李丹阳,5;
songliao,10 松辽,10;
wang'kunyou,5 王坤友,5;
lie'qiang,124 列强,124;
wu'zhong'quan'hui,516 五中全会,516;
lin'ze'xu,28 林则徐,28;
hun'xing,6 荤腥,6;
paoyang,7 抛秧,7;
huo'ran'kai'lang,34 豁然开朗,34;
ren'tou'cuan'dong,37 人头攒动,37;
tuo'er'si'tai,22 托尔斯泰,22;
qu'chang'bu'duan,75 取长补短,75;
hong'he'zhou,29 红河州,29;
li'jian'ping,6 李建平,6;
xu'yuan,10 许愿,10;
lian'xihu,10 联系户,10;
wuyi'xing,17 邬义兴,17;
diao'su'xi,6 雕塑系,6;
guo'xingfu,6 郭兴福,6;
guo'jiasuo'you,19 国家所有,19;
pin'kunmian,9 贫困面,9;
liu'xin'wu,13 刘心武,13;
pei'li'dao'qian,15 赔礼道歉,15;
cheng'jiao'e,55 成交额,55;
la'ding'mei'zhou,70 拉丁美洲,70;
bo'ci'wa'na,51 博茨瓦纳,51;
tian'jing,213 田径,163;恬静,26;天井,24;
lue'duo,64 掠夺,64;
mei'ke'bao,6 梅克保,6;
wa'ming,9 蛙鸣,9;
cheng'hao,825 称号,825;
zheng'jiangping,11 郑江平,11;
matingsong,14 马廷松,14;
wang'shixian,9 王适娴,9;
peng'chunhua,17 彭春花,17;
kai'fa'bu,5 开发部,5;
man'tang'hong,6 满堂红,6;
jiao'yin,64 脚印,58;胶印,6;
ce'ding,65 测定,65;
jiang'shan,107 江山,91;姜山,16;
daibu'zhang,6 代部长,6;
muwu,10 母戊,10;
saman,34 洒满,34;
chi'ku'tou,8 吃苦头,8;
shi'jin'bu'mei,16 拾金不昧,16;
heizuiou,13 黑嘴鸥,13;
bu'yue'er'tong,93 不约而同,93;
xiang'hui,23 相会,23;
dong'fang'hongyi'hao,13 东方红一号,13;
sufubi,16 苏富比,16;
nian'qing'you'wei,9 年轻有为,9;
zhen'bie,97 甄别,97;
li'mou,48 李某,48;
wan'dunji,36 万吨级,36;
liang'dan'yi'xing,183 两弹一星,183;
fu'er'ma'lin,5 福尔马林,5;
hui'yin,39 回音,39;
li'hong'zhang,17 李鸿章,17;
zi'bei,91 自备,46;自卑,45;
shui'tang,71 水塘,71;
zhe'bang'si,7 哲蚌寺,7;
chen'wen'bin,7 陈文斌,7;
cai'da'qi'cu,17 财大气粗,17;
zi'ben,3232 资本,3232;
you'ran,37 悠然,37;
yuanzhanting,6 袁占亭,6;
gong'cheng'budui,11 工程部队,11;
tongzhifang,6 同智方,6;
chuan'zhu,17 船主,17;
xiao'nan'qu,6 孝南区,6;
huan'jia,5 还价,5;
tuo'pin,193 脱贫,193;
qiu'quan,9 求全,9;
li'xin'min,36 李新民,36;
kong'gao,46 控告,46;
liu'xun,36 六旬,36;
mai'tian,145 麦田,145;
dexiaozhi,5 德孝治,5;
chuan'zhi,180 船只,180;
qiang'xian,634 抢先,35;强县,70;抢险,529;
guan'fan,8 惯犯,8;
huan'jie,6227 换届,1428;缓解,1351;环节,3448;
zhengshanmin,7 郑善敏,7;
chuan'zhe,149 穿着,149;
kang'zang,8 康藏,8;
ruo'you'suo'si,11 若有所思,11;
chuan'zha,47 船闸,47;
cheng'guo'qiang,9 程国强,9;
gong'ji'jin,303 公积金,303;
qiang'gou'yi'kong,19 抢购一空,19;
ke'xue'xi,5 科学系,5;
wutong'yi,10 五统一,10;
she'an,237 涉案,237;
jiao'xiang,113 焦翔,45;交响,68;
pu'luo,6 普罗,6;
qi'ye'guan'lizhe,10 企业管理者,10;
guang'dian'zi,25 光电子,25;
ge'ming'dang,116 革命党,116;
qi'shi'si,11 七十四,11;
tang'niao'bing,246 糖尿病,246;
xiang'huo,21 香火,21;
songling,6 宋凌,6;
liu'xue,545 流血,152;留学,393;
gao'ling,266 高龄,261;高岭,5;
ruo'yin'ruo'xian,12 若隐若现,12;
su'ran'qi'jing,30 肃然起敬,30;
zhengdang,198 争当,198;
zheng'que'xing,28 正确性,28;
zoucunru'hu,21 走村入户,21;
die'shang,6 跌伤,6;
qiao'wu'sheng'xi,14 悄无声息,14;
jia'li'ningfu,6 加里宁夫,6;
she'ying'zhe,6 摄影者,6;
bing'yi'fa,41 兵役法,41;
xidong,6 西东,6;
tong'cheng'shi,5 桐城市,5;
guo'jia'an'quan'budui,8 国家安全部队,8;
zhang'zhuangyin,13 张庄银,13;
shouzhan,27 首站,27;
shi'yonghua,9 实用化,9;
pan'bi,97 攀比,97;
pan'bo,15 盘剥,15;
xuan'chuanzhe,12 宣传者,12;
yan'xian,277 沿线,251;眼线,6;艳羡,20;
ban'xiao,33 办校,33;
handaifu,9 韩代富,9;
xin'langwei,81 新浪微,81;
yi'lunlun,15 一轮轮,15;
si'wushi,60 四五十,60;
ze'ren'zhuang,37 责任状,37;
cheng'jiao'jia,33 成交价,33;
wei'lai,7053 未来,7053;
wei'lao,11 慰劳,11;
dong'jintuo,6 东津沱,6;
wei'lan,26 蔚蓝,26;
hua'niao,23 花鸟,23;
guang'xue'bo'li,6 光学玻璃,6;
liu'xing'wei,5 刘兴伟,5;
keran,15 可燃,15;
cheng'guo,6817 城郭,8;成果,6809;
jie'kuan,145 借款,145;
lianli,7 廉吏,7;
mao'ping,9 茅坪,9;
fang'xin,789 放心,789;
pan'an,5 判案,5;
jing'ran,389 井然,5;竟然,384;
jing'rao,8 惊扰,8;
zhu'liangchun,10 朱良春,10;
zi'bao,37 兹堡,25;自保,12;
renqinglazhen,11 仁青拉珍,11;
kai'men'jian'shan,23 开门见山,23;
di'pai,5 底牌,5;
ba'shou,27 把守,27;
cheng'gui,9 成规,9;
zi'bai,11 自白,11;
zhangzhanhe,12 张占河,12;
di'pan,70 地盘,53;底盘,17;
sheng'zhuang,38 盛装,38;
zi'ban,71 自办,71;
you'ren,2379 诱人,67;友人,139;游人,139;有人,2034;
tie'gong'ji,8 铁公鸡,8;
xin'min,47 新民,47;
a'er'ji'li'ya,125 阿尔及利亚,125;
ban'xiang,6 扮相,6;
tuan'zong'zhi,7 团总支,7;
yi'ran,3201 毅然,323;亦然,7;易燃,24;怡然,6;依然,2841;
ye'zhan'jun,85 野战军,85;
xin'xixue'yuan,10 信息学院,10;
zhu'ren'yi'shi,129 主任医师,129;
tao'hua,190 套话,45;桃花,145;
li'yuan'hong,31 黎元洪,31;
gua'kao,72 挂靠,72;
du'zhe'qun,24 读者群,24;
de'yi'men'sheng,6 得意门生,6;
jun'shibu,9 军事部,9;
feizheng'fu,126 非政府,126;
jiao'you,85 交友,60;郊游,11;焦油,14;
[zhong'shu,107 种树,107;
zai'chu'liang,15 载畜量,15;
dushaozhong,7 杜少中,7;
can'yuan,53 参院,53;
rui'jian,72 锐减,72;
cao'xie,73 草鞋,73;
zhou'jia'cun,5 周家村,5;
ding'hun,6 订婚,6;
fan'dui'dang,145 反对党,145;
ding'huo,27 订货,27;
fang'xia,378 放下,378;
dang'zong'zhi,447 党总支,447;
li'xing'gong'shi,6 例行公事,6;
ping'kong,45 凭空,45;
wu'hui,135 吴晖,6;舞会,11;无悔,46;污秽,11;误会,61;
hua'hua,49 画画,49;
luo'chuan'xian,5 洛川县,5;
jia'xin'guang,6 贾新光,6;
gong'bei,5 拱北,5;
ben'zhang,5 贲张,5;
cao'xin,68 操心,68;
hua'hui,230 花会,10;花卉,214;华辉,6;
yi'jian'zhong'qing,14 一见钟情,14;
che'gong,18 车工,18;
xie'tiaoju,9 协调局,9;
jing'yan'zhu'yi,15 经验主义,15;
sang'zang,28 丧葬,28;
gui'zu,106 贵族,106;
situoertengbeige,9 斯托尔滕贝格,9;
fanjingshan,19 梵净山,19;
yin'hui,122 淫秽,112;隐晦,10;
pan'fa,57 判罚,57;
pei'dian,38 配电,38;
qing'ming'jie,36 清明节,36;
ce'hou,6 侧后,6;
si'zhang,311 司长,311;
zewang,7 泽旺,7;
liu'yan,411 留言,375;刘燕,5;流言,31;
zi'zhi'zhi'ming,9 自知之明,9;
bei'huan,21 悲欢,21;
duo'nan'xing'bang,8 多难兴邦,8;
hai'zi'cun,24 海子村,24;
wu'hou,117 屋后,60;午后,57;
shen'ji'zhang,12 审计长,12;
xi'sui,14 细碎,14;
si'liaoliang,9 饲料粮,9;
chi'jia,6 持家,6;
linjie,39 临界,39;
jing'que,311 精确,311;
mu'ta'sa,6 穆塔萨,6;
jiao'yan,121 教研,109;校验,12;
ya'ling,15 哑铃,15;
xiang'shang,516 向上,516;
lianhu,42 联户,42;
chi'xu'xing,63 持续性,63;
zheng'pin,31 正品,31;
chi'jin,68 吃紧,68;
mu'xing,25 母性,5;木星,20;
chu'kou'shang,41 出口商,41;
yue'duzhe,13 阅读者,13;
ju'lv'yi'xi,14 聚氯乙烯,14;
yang'lugong,13 养路工,13;
tan'qi'xiang,7 谭其骧,7;
sa'halin,6 萨哈林,6;
chi'jiu,558 持久,558;
miu'lun,7 谬论,7;
gao'litu,7 高立图,7;
shen'de'min'xin,13 深得民心,13;
ya'jia'da,87 雅加达,87;
tai'qiushi,6 台球室,6;
pei'zhi,1736 培植,84;配置,1634;配制,18;
jin'nan,6 晋南,6;
erze,8 二则,8;
quan'ban,57 全班,57;
wang'xiqing,11 王喜庆,11;
you'ji'zhan,25 游击战,25;
shijianjin,7 史鉴今,7;
xie'zhen,11 写真,11;
zhipin,52 致贫,52;
liu'jiangsong,8 柳江松,8;
ruan'hua,11 软化,11;
bian'gexing,9 变革性,9;
ji'zhi'xing,45 机制性,45;
yang'ping,6 杨苹,6;
fei'jingyingxing,9 非经营性,9;
tejiao,50 特教,50;
dang'an'guan,86 档案馆,86;
gao'liming,7 高立明,7;
nan'hang,64 南航,64;
hu'fang,268 互访,268;
wang'fumei,8 王福妹,8;
bian'xing,219 变型,6;变性,56;变形,157;
pian'hao,61 偏好,61;
wen'mingzhong'wai,5 闻名中外,5;
lahuoyi,9 拉霍伊,9;
hu'lixing,11 互利性,11;
huo'dian,228 火电,228;
bei'wang'lu,286 备忘录,286;
shi'nian'dong'luan,7 十年动乱,7;
feng'yuner'hao,5 风云二号,5;
gao'lou,155 高楼,155;
xue'liang,31 雪亮,31;
lan'bozhou,20 蓝博洲,20;
jie'fang'qian,60 解放前,60;
gong'ban,446 公办,446;
hui'you,23 会友,10;回游,13;
gong'bao,181 公报,181;
lu'cheng'qu,6 鹿城区,6;
sheng'zheng'fu,926 省政府,926;
de'kexia,11 德克夏,11;
ba'zhu,43 霸主,36;把住,7;
quan'shi'jie,784 全世界,784;
an'qing,118 安庆,35;案情,83;
ruo'hua,172 弱化,172;
you'shan'wan'shui,9 游山玩水,9;
sai'shi,872 赛事,872;
zang'luan,23 脏乱,23;
gao'lun,5 高论,5;
xi'jin'ping,865 习近平,865;
ba'zha,31 巴扎,31;
fu'yuan'ai,5 福原爱,5;
erwu,8 二五,8;
shou'guang,79 寿光,79;
ban'mian,213 版面,213;
yuan'chu,149 远处,149;
chu'lei'ba'cui,20 出类拔萃,20;
guo'bu'qi'ran,8 果不其然,8;
pan'ju,18 盘踞,18;
huan'qian,16 换钱,16;
eryi,30 二一,5;儿艺,25;
wu'ti'tou'di,6 五体投地,6;
han'jiang,93 汉江,83;悍将,10;
ji'qian'wan,54 几千万,54;
ba'si'de,9 巴斯德,9;
qi'shi'lu,7 启示录,7;
bei'da'cang,8 北大仓,8;
pan'jia'yuan,6 潘家园,6;
gui'xi,16 桂西,16;
yun'zuo,1236 运作,1236;
fu'zhijian,10 复制件,10;
gong'shang'hu,237 工商户,237;
xin'mao,20 新貌,20;
xun'hui,195 巡回,195;
lu'jia'zui,43 陆家嘴,43;
jiao'tong'yuan,9 交通员,9;
yu'tan,6 羽坛,6;
yu'tao,8 于涛,8;
mi'lin'xian,7 米林县,7;
suse,8 素铯,8;
luosangnian,5 罗桑念,5;
yu'tai,6 语态,6;
lue'dai,38 略带,38;
shi'er'sheng'xiao,17 十二生肖,17;
yin'shui,617 饮水,617;
huan'jue,26 幻觉,26;
yan'hui'ting,13 宴会厅,13;
wei'sheng'yuan,578 卫生员,28;卫生院,550;
xi'xiao'nu'ma,8 嬉笑怒骂,8;
mao'yi'bu,25 贸易部,25;
xie'zhao,230 写照,230;
biao'mian'hua,14 表面化,14;
sui'hua'shi,21 绥化市,21;
zi'sheng'zi'mie,12 自生自灭,12;
shu'cheng,42 书城,42;
pan'he,5 潘鹤,5;
bei'fangbang,7 北方邦,7;
zhang'jia'kou'shi,49 张家口市,49;
chenwusheng,7 陈伍胜,7;
jin'ci'yu,137 仅次于,137;
zu'zhi'ji'lv'xing,11 组织纪律性,11;
zheng'pai,108 正牌,5;正派,103;
ren'jin,45 韧劲,45;
jin'zhou'qu,5 金州区,5;
gui'yi,24 诡异,11;皈依,13;
xuan'shang,15 悬赏,15;
cang'hai,19 沧海,19;
yin'shua,379 印刷,379;
chang'deng,7 长凳,7;
qiang'xing,154 强行,154;
shouyan,5 手眼,5;
tun'chang'xian,11 屯昌县,11;
gui'yu,36 归于,36;
xu'kuang'di,29 徐匡迪,29;
zheng'xiaoxing,7 郑晓幸,7;
ce'hua,552 策划,552;
ren'jia,776 人家,776;
wen'xindiao,12 文心雕,12;
ming'tang,24 名堂,24;
lianbu,6 连部,6;
xing'zhengchu'fen,47 行政处分,47;
de'bu'dao,413 得不到,413;
cong'long,52 葱茏,52;
chen'yu'zhu,46 陈玉柱,46;
yang'zhen'wu,8 杨振武,8;
gui'zi,71 鬼子,36;柜子,35;
fayiman,8 法伊曼,8;
pan'gu,8 盘古,8;
feng'wei,59 风味,49;凤尾,10;
le'shan,32 乐山,32;
gong'shang'ju,210 工商局,210;
jian'xian'si,26 见贤思,26;
luo'ben,6 罗本,6;
ce'hui,182 测绘,182;
tong'lihua,7 佟丽华,7;
gong'zuotuan,7 工作团,7;
bai'bing,6 白冰,6;
gui'ze,1514 规则,1514;
wei'kun,41 围困,41;
zan'cun,14 咱村,14;
jia'de'man'du,16 加德满都,16;
gang'ling,332 纲领,332;
zao'shen,13 灶神,13;
hong'bai'xi'shi,24 红白喜事,24;
na'hui'er,34 那会儿,34;
wai'xie,27 歪斜,5;外泄,22;
dian'chang,238 电场,54;电厂,184;
she'qu,9833 舍去,7;社区,9810;摄取,16;
tian'an,20 天安,20;
jiang'shui,371 江水,113;降水,258;
liu'shi'min,9 刘世民,9;
guang'nian,6 光年,6;
xia'ren,26 吓人,16;下人,10;
liu'man'cang,9 刘满仓,9;
she'qi,89 涉企,18;舍弃,71;
liang'tianping,5 梁天平,5;
wu'zi'bie'ke'si'tangong'he'guo,15 乌兹别克斯坦共和国,15;
yi'zuzu,27 一组组,27;
hai'guan'zong'shu,69 海关总署,69;
wei'jing,439 未经,392;未竟,27;胃镜,7;味精,13;
she'ru,106 摄入,106;
bu'laimei,14 不来梅,14;
lianshifan'ying,6 链式反应,6;
shuang'feng,7 双峰,7;
chuan'jiao,6 传教,6;
lv'you'qu,83 旅游区,83;
xin'kuang'shen'yi,32 心旷神怡,32;
huo'long,19 火龙,19;
suo'luo,6 索洛,6;
wan'dao,46 弯道,46;
jing'shen'huan'fa,6 精神焕发,6;
ban'shang,9 半晌,9;
laishengchuan,13 赖声川,13;
duan'zheng,149 端正,149;
guo'ruimin,6 郭瑞民,6;
tu'di'quan'shu,10 土地权属,10;
yue'ding'su'cheng,27 约定俗成,27;
er'bi'hou'ke,5 耳鼻喉科,5;
xiao'de'yin,10 肖德银,10;
zhong'zixuan'shou,11 种子选手,11;
fo'shan,204 佛山,204;
gan'mang,36 赶忙,36;
zong'zheng,70 总政,70;
ba'yan,23 巴彦,23;
min'zuqing,13 民族情,13;
wu'zi'bie'ke'si'tandui,32 乌兹别克斯坦队,32;
jian'zhu'qun,67 建筑群,67;
bang'cheng,6 磅秤,6;
jie'an,57 结案,57;
zhuangxiang,60 庄乡,7;壮乡,53;
xin'wozi,24 心窝子,24;
chi'yi'bu'jue,5 迟疑不决,5;
xin'xue'guan,76 心血管,76;
tai'ji'quan,54 太极拳,54;
du'lian'ti,35 独联体,35;
huan'qing,58 欢庆,58;
